pv efficiency (%),constant v (t/f),average v (kph),actual travel time (hr),arrival target (days),arrival,SoC at arrival (%),SoC<10% (times in 5m units),total E input (kWh),average E input (W),-,-
21.00,true,70.00,39.7,INVALID,Day6 9:15~9:20,31.74,259,459.64,321.20,-,-

time,speed (kph),SoC (%),solar input (W/m^2),final solar input (W),final solar input (Wh),regen input (W),total state output (Wh),output (W),air (W),roll (W),acc (W)
Day1 14:40~45,70,52,730.8720202254466,723.5633000231921,60.2728228919319,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 14:45~50,70,51,719.0036712634957,711.8136345508607,59.29407575808669,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 14:50~55,70,50,707.2415569976797,700.1691414277029,58.324089480927654,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 14:55~60,70,49,687.9754778303576,681.095723052054,56.7352737302361,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 15:0~5,70,47,675.6681259656203,668.9114447059641,55.72032334400681,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 15:5~10,70,46,663.1842465892547,656.5524041233622,54.69081526347607,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 15:10~15,70,45,649.3969353269736,642.9029659737038,53.55381706560952,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 15:15~20,70,43,635.8328285246805,629.4745002394337,52.43522586994483,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 15:20~25,70,42,613.404089465387,607.2700485707331,50.58559504594207,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 15:25~30,70,41,599.1649218148382,593.1732725966898,49.41133360730426,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 15:30~35,70,39,584.1686031100617,578.3269170789611,48.17463219267746,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
