air_temp,dhi,dni,ghi,zenith,azimuth,Period_Start,ACST_Start
38,175.8,716.2,727.4,40,87,10.23 05:30,10.23 15:00
37.8,173.4,712.6,712.6,41,87.2,10.23 05:35,10.23 15:05
37.8,150,755.4,710.8,42,88,10.23 05:40,10.23 15:10
37.8,162,719.8,686.2,43,88.2,10.23 05:45,10.23 15:15
37.8,150,737.4,676.4,44,89,10.23 05:50,10.23 15:20
37.8,142.6,744.6,662.8,46,89,10.23 05:55,10.23 15:25
37.8,141.2,737,645.4,47,89.2,10.23 06:00,10.23 15:30
37.8,154.6,691.8,617,48,90,10.23 06:05,10.23 15:35
37.4,149.8,691.4,601.2,49,90.2,10.23 06:10,10.23 15:40
37,152.6,670.6,580,50,90.2,10.23 06:15,10.23 15:45
37,143.4,680.6,566.2,52,91,10.23 06:20,10.23 15:50
37,139.6,677.8,549.2,53,91.2,10.23 06:25,10.23 15:55
37,175.8,526.4,484.8,54,91.2,10.23 06:30,10.23 16:00
36.8,134.4,521.6,431.8,55,92,10.23 06:35,10.23 16:05
36.6,178.2,373,384.6,56,92.2,10.23 06:40,10.23 16:10
36.6,144.4,380.4,348,58,92.2,10.23 06:45,10.23 16:15
36.4,116.4,357,301.4,59,93,10.23 06:50,10.23 16:20
36.2,94.2,331.4,259.8,60,93.2,10.23 06:55,10.23 16:25
36,103.6,318.8,257.2,61,93.2,10.23 07:00,10.23 16:30
36,112.4,313.8,257.6,62,94,10.23 07:05,10.23 16:35
36,147.2,272.8,268.4,64,94,10.23 07:10,10.23 16:40
35.8,161.2,264.8,274.2,65,94.2,10.23 07:15,10.23 16:45
35.6,166.4,264.8,274.2,66,95,10.23 07:20,10.23 16:50
35.4,129.2,360.4,269.2,67,95,10.23 07:25,10.23 16:55
35.2,132.8,300.2,243.6,68,95.2,10.23 07:30,10.23 17:00
35.2,109.8,311.8,218.8,70,96,10.23 07:35,10.23 17:05
35.2,118.2,254.4,202.2,71,96,10.23 07:40,10.23 17:10
35,119,217.2,186.6,72,96.2,10.23 07:45,10.23 17:15
