air_temp,dhi,dni,ghi,zenith,azimuth,Period_Start,ACST_Start
18.82,125,611.2,407,62.8,-87.2,10.22 22:25,10.23 7:55
18.96,129.6,629.8,431,61,-87,10.22 22:30,10.23 8:00
19.04,125.8,672.8,458.6,60,-86,10.22 22:35,10.23 8:05
19.12,112.2,740.6,490.8,59,-85.2,10.22 22:40,10.23 8:10
19.24,115,747,509,58,-85,10.22 22:45,10.23 8:15
19.3,139.4,680.2,509.2,57,-84,10.22 22:50,10.23 8:20
19.42,155,648.8,517.8,56,-83.2,10.22 22:55,10.23 8:25
19.54,165.2,618.2,521,55,-83,10.22 23:00,10.23 8:30
19.72,159.6,622.2,527,54,-82,10.22 23:05,10.23 8:35
19.9,178.8,610,548,53,-81.2,10.22 23:10,10.23 8:40
20.06,183.8,599.8,555.6,51.8,-80.2,10.22 23:15,10.23 8:45
20.24,168.2,604.8,552.2,50.8,-80,10.22 23:20,10.23 8:50
20.42,172.2,603.4,564.2,49.8,-79,10.22 23:25,10.23 8:55
20.56,187.4,555,555.6,48,-78.2,10.22 23:30,10.23 9:00
20.74,207.4,531.4,567,47,-77.2,10.22 23:35,10.23 9:05
20.92,209.4,618,635.8,46,-76.2,10.22 23:40,10.23 9:10
21.08,183.8,697.6,674.6,45,-76,10.22 23:45,10.23 9:15
21.26,187.8,685.4,679.2,44,-75,10.22 23:50,10.23 9:20
21.44,205.6,633.8,668,43,-74,10.22 23:55,10.23 9:25
21.62,213.4,654.6,698.8,42,-73,10.23 00:00,10.23 9:30
21.74,201.2,700.2,729.4,41,-72,10.23 00:05,10.23 9:35
21.86,180.8,750.8,756.4,40,-71,10.23 00:10,10.23 9:40
22,183.8,751,767.8,39,-70,10.23 00:15,10.23 9:45
22.14,185.2,756.6,781.6,38,-69,10.23 00:20,10.23 9:50
22.28,187.2,758,793,37,-68,10.23 00:25,10.23 9:55
22.4,193.8,735,789,36,-66.2,10.23 00:30,10.23 10:00
22.54,179,737.6,783.4,35,-65.2,10.23 00:35,10.23 10:05
22.68,156.2,739.8,769.8,34,-64,10.23 00:40,10.23 10:10
22.82,135.6,742.4,758.4,33,-62.2,10.23 00:45,10.23 10:15
22.94,139,728.2,756.6,32,-61.2,10.23 00:50,10.23 10:20
23.06,150.6,703.8,753.2,31,-60,10.23 00:55,10.23 10:25
23.18,190.8,668.2,768.6,30,-58.2,10.23 01:00,10.23 10:30
23.3,232.2,629.2,781.6,29,-56.2,10.23 01:05,10.23 10:35
23.36,224.2,654.4,800.2,28,-55,10.23 01:10,10.23 10:40
23.48,205.2,712.2,837,27,-53,10.23 01:15,10.23 10:45
23.5,212.4,773.2,904.2,26.8,-51,10.23 01:20,10.23 10:50
23.62,180.4,841.8,939.4,25.8,-49,10.23 01:25,10.23 10:55
23.68,212,787,926,25,-47,10.23 01:30,10.23 11:00
23.8,236.4,740.8,912.2,24,-44.2,10.23 01:35,10.23 11:05
23.82,237,742.2,918.6,23,-42,10.23 01:40,10.23 11:10
23.96,235.8,747.2,925.8,22.8,-39.2,10.23 01:45,10.23 11:15
24.02,251.2,669,871.8,22,-37,10.23 01:50,10.23 11:20
24.14,218.2,631.6,806.6,21,-34,10.23 01:55,10.23 11:25
24.2,232,680.4,868.2,20.8,-31,10.23 02:00,10.23 11:30
24.3,254,705.8,916.4,20,-28,10.23 02:05,10.23 11:35
24.4,268,696.2,922.8,19.8,-24.2,10.23 02:10,10.23 11:40
24.5,302.4,633,900.2,19,-21,10.23 02:15,10.23 11:45
24.6,316.6,606.6,890.6,19,-17.2,10.23 02:20,10.23 11:50
24.72,336,563.4,870,18.8,-14,10.23 02:25,10.23 11:55
24.8,307,585.2,862.2,18,-10,10.23 02:30,10.23 12:00
24.92,258.6,620.2,847.4,18,-6,10.23 02:35,10.23 12:05
25.02,258.4,605.4,833.4,18,-2,10.23 02:40,10.23 12:10
25.1,247.8,616.6,833.2,18,2,10.23 02:45,10.23 12:15
25.2,246.8,602.2,818.6,18,6,10.23 02:50,10.23 12:20
25.3,235.6,628.4,832,18,10,10.23 02:55,10.23 12:25
25.38,297,609.4,874,18.8,13.2,10.23 03:00,10.23 12:30
25.44,277.6,673.2,914.2,19,17,10.23 03:05,10.23 12:35
25.5,292.2,635.4,892.4,19,21,10.23 03:10,10.23 12:40
25.54,264.8,624.4,852.6,19.8,24.2,10.23 03:15,10.23 12:45
25.6,242.6,624,828.6,20,27.2,10.23 03:20,10.23 12:50
25.66,232.4,605.2,798.4,20.8,31,10.23 03:25,10.23 12:55
25.7,259.6,580,799.8,21,34,10.23 03:30,10.23 13:00
