air_temp,dhi,dni,ghi,zenith,azimuth,Period_Start,ACST_Start
20.4,0,0,0,108,-111,10.22 19:05,10.23 4:35
20.4,0,0,0,107,-110.2,10.22 19:10,10.23 4:40
20.4,0,0,0,106,-110,10.22 19:15,10.23 4:45
20.2,0,0,0,105,-109,10.22 19:20,10.23 4:50
20.2,0,0,0,104,-108.2,10.22 19:25,10.23 4:55
20.2,0,0,0,102.8,-108,10.22 19:30,10.23 5:00
20.2,0,0,0,101.8,-107.2,10.22 19:35,10.23 5:05
20.2,0,0,0,100,-107,10.22 19:40,10.23 5:10
20.2,0,0,0,99,-106,10.22 19:45,10.23 5:15
20.2,0,0,0,98,-106,10.22 19:50,10.23 5:20
20,0,0,0,97,-105,10.22 19:55,10.23 5:25
20,0,0,0,96,-105,10.22 20:00,10.23 5:30
20.2,0,0,0,95,-104,10.22 20:05,10.23 5:35
20.2,0,0,0,94,-103.2,10.22 20:10,10.23 5:40
20.2,0,0,0,93,-103,10.22 20:15,10.23 5:45
20.2,0,0,0,91.8,-102.2,10.22 20:20,10.23 5:50
20.2,0,0,0,90.8,-102,10.22 20:25,10.23 5:55
20,3.8,4.8,4,89,-101.2,10.22 20:30,10.23 6:00
20.2,10.6,28.8,13.2,88,-101,10.22 20:35,10.23 6:05
20.2,16.8,92.4,25.2,87,-100.2,10.22 20:40,10.23 6:10
20.4,23.2,169.4,38,86,-100,10.22 20:45,10.23 6:15
20.4,30.2,256.8,53.2,85,-99.2,10.22 20:50,10.23 6:20
20.6,39.2,258.4,67.2,84,-99,10.22 20:55,10.23 6:25
20.6,42.8,306.6,82.4,82.8,-99,10.22 21:00,10.23 6:30
21.2,49.2,297.6,93.6,81,-98,10.22 21:05,10.23 6:35
21.8,55.4,324,109.8,80,-98,10.22 21:10,10.23 6:40
21.8,58.6,384,130.6,79,-97,10.22 21:15,10.23 6:45
22.2,63.8,444.4,156,78,-97,10.22 21:20,10.23 6:50
22.8,60.6,533.8,181.4,77,-96,10.22 21:25,10.23 6:55
23.2,64,557.4,201,76,-96,10.22 21:30,10.23 7:00
23.6,68.8,571.6,219.8,75,-95.2,10.22 21:35,10.23 7:05
24.4,69.2,608.8,241.8,73.8,-95,10.22 21:40,10.23 7:10
24.8,76.4,602.6,259,72,-94.2,10.22 21:45,10.23 7:15
24.8,75.8,640.4,282.2,71,-94,10.22 21:50,10.23 7:20
25.2,78.4,658.4,302.6,70,-93.2,10.22 21:55,10.23 7:25
25.4,82.4,667.4,322.4,69,-93,10.22 22:00,10.23 7:30
25.6,87.2,671.4,341.2,68,-92.2,10.22 22:05,10.23 7:35
25.8,84,709.6,365.4,67,-92,10.22 22:10,10.23 7:40
26,87.2,719.6,385.6,65.8,-91.2,10.22 22:15,10.23 7:45
26.2,88.6,734.4,406.6,64,-91,10.22 22:20,10.23 7:50
26.2,88.2,754.6,428.6,63,-90.2,10.22 22:25,10.23 7:55
26.2,85.8,780.6,451.2,62,-90,10.22 22:30,10.23 8:00
26.4,83.4,804.4,474.2,61,-89.2,10.22 22:35,10.23 8:05
26.4,85,813,494.2,60,-89,10.22 22:40,10.23 8:10
26.6,85.6,824.2,514.6,59,-88.2,10.22 22:45,10.23 8:15
26.8,86.4,833.4,534.8,57.8,-88,10.22 22:50,10.23 8:20
26.8,100,806,547,56,-87.2,10.22 22:55,10.23 8:25
26.8,88.8,850.8,574,55,-87,10.22 23:00,10.23 8:30
27,89.4,858.4,593.2,54,-86.2,10.22 23:05,10.23 8:35
27,90.2,866,612.4,53,-86,10.22 23:10,10.23 8:40
27,91.2,872.8,631.6,52,-85,10.22 23:15,10.23 8:45
27,91.8,879.6,649.8,51,-84.2,10.22 23:20,10.23 8:50
27.2,92.8,886,668.2,49.8,-84,10.22 23:25,10.23 8:55
27.4,93.2,892.2,686.2,48,-83.2,10.22 23:30,10.23 9:00
27.6,93.8,898,703.8,47,-83,10.22 23:35,10.23 9:05
27.6,94.4,903.8,721,46,-82,10.22 23:40,10.23 9:10
27.6,95,909.2,738.4,45,-81.2,10.22 23:45,10.23 9:15
27.6,95.2,914.6,755,44,-81,10.22 23:50,10.23 9:20
27.6,95.6,919.2,771.6,43,-80,10.22 23:55,10.23 9:25
27.6,96.4,924.8,788.6,41.8,-79.2,10.23 00:00,10.23 9:30
27.6,96.4,929.4,804.2,40,-78.2,10.23 00:05,10.23 9:35
27.6,97,933.4,819.2,39,-78,10.23 00:10,10.23 9:40
27.8,97,937.6,834.2,38,-77,10.23 00:15,10.23 9:45
28.4,97.6,941.6,848.8,37,-76.2,10.23 00:20,10.23 9:50
28.4,97.4,945.2,862.8,36,-75.2,10.23 00:25,10.23 9:55
28.4,98,948.6,876.4,35,-74.2,10.23 00:30,10.23 10:00
28.6,98.4,951.6,890,34,-73.2,10.23 00:35,10.23 10:05
28.6,99.2,954.4,902.4,32.8,-72.2,10.23 00:40,10.23 10:10
28.8,99.4,957,915,31.8,-71.2,10.23 00:45,10.23 10:15
29,100,959.8,926.8,30.8,-70.2,10.23 00:50,10.23 10:20
29.2,100.2,962,938,29,-69,10.23 00:55,10.23 10:25
29.4,100.4,964.2,949,28,-68,10.23 01:00,10.23 10:30
29.6,101,966.4,959.8,27,-66.2,10.23 01:05,10.23 10:35
29.6,101.4,968.6,969.8,26,-65,10.23 01:10,10.23 10:40
29.6,101.2,970.6,979.8,25,-63.2,10.23 01:15,10.23 10:45
29.6,101.8,972.6,988.8,24,-62,10.23 01:20,10.23 10:50
30.2,102.2,974.2,997.6,23,-60,10.23 01:25,10.23 10:55
30.2,102.4,975.8,1005.8,22,-58.2,10.23 01:30,10.23 11:00
30.2,103,977,1013.6,21,-56,10.23 01:35,10.23 11:05
30.4,103.4,978.2,1020.8,20,-54,10.23 01:40,10.23 11:10
30.6,104,979.2,1027.2,19,-51.2,10.23 01:45,10.23 11:15
30.8,109.4,971.8,1030.4,18.8,-48.2,10.23 01:50,10.23 11:20
31,118.8,957.2,1030.6,17.8,-46,10.23 01:55,10.23 11:25
31,106.2,979.6,1043.4,17,-42.2,10.23 02:00,10.23 11:30
31,105.4,982.4,1048.8,16,-39.2,10.23 02:05,10.23 11:35
31.4,105.8,982.8,1052.8,15.8,-35.2,10.23 02:10,10.23 11:40
31.4,106.2,983.2,1056.4,15,-31.2,10.23 02:15,10.23 11:45
31.6,106.4,983.8,1059.6,14,-27,10.23 02:20,10.23 11:50
31.6,106.6,983.8,1062,14,-22.2,10.23 02:25,10.23 11:55
31.6,106.8,984.4,1064,13,-17.2,10.23 02:30,10.23 12:00
31.6,106.4,985,1065.8,13,-12,10.23 02:35,10.23 12:05
31.6,106,985.8,1066.8,13,-7,10.23 02:40,10.23 12:10
31.8,105.8,986.2,1067.4,13,-1,10.23 02:45,10.23 12:15
32,105.6,986.6,1067.4,13,4,10.23 02:50,10.23 12:20
32,105,987,1066.4,13,10,10.23 02:55,10.23 12:25
32.2,104.8,987,1065.6,13,15,10.23 03:00,10.23 12:30
32.2,104.4,986.8,1064,13.8,20.2,10.23 03:05,10.23 12:35
32.2,104.2,987.2,1061.8,14,25,10.23 03:10,10.23 12:40
32.4,103.6,987.2,1059,14.8,29.2,10.23 03:15,10.23 12:45
32.6,103,986.8,1055.6,15,33.2,10.23 03:20,10.23 12:50
32.8,102.8,986.4,1052.2,16,37.2,10.23 03:25,10.23 12:55
33,102.8,985.6,1047.6,16.8,41.2,10.23 03:30,10.23 13:00
33,103.4,983.8,1042.6,17,44.2,10.23 03:35,10.23 13:05
33,103.8,981.8,1036.8,18,47.2,10.23 03:40,10.23 13:10
33.2,104,979.8,1030.8,19,50.2,10.23 03:45,10.23 13:15
33.2,104.4,977.8,1024.4,20,52.2,10.23 03:50,10.23 13:20
33.2,104.8,975.6,1017.2,21,55.2,10.23 03:55,10.23 13:25
33.2,105.4,973.6,1009.4,22,57.2,10.23 04:00,10.23 13:30
33.2,105.4,971.6,1001.6,23,59.2,10.23 04:05,10.23 13:35
33.2,105.6,968.8,993,24,61.2,10.23 04:10,10.23 13:40
33.2,106,966.4,984,25,62.2,10.23 04:15,10.23 13:45
33.2,106.2,963.8,974.4,26,64.2,10.23 04:20,10.23 13:50
33.2,106,961,964.4,27,66,10.23 04:25,10.23 13:55
33.4,106.6,958,953.8,28,67.2,10.23 04:30,10.23 14:00
33.6,107,954.6,942.8,29,68.2,10.23 04:35,10.23 14:05
33.6,106.8,951,931.2,30,69.2,10.23 04:40,10.23 14:10
33.8,107.4,947.6,919.4,31,71,10.23 04:45,10.23 14:15
33.8,107.2,943.8,907.2,32,72,10.23 04:50,10.23 14:20
34,107.4,940,894.2,33,73,10.23 04:55,10.23 14:25
34,107.6,935.6,880.8,34,74,10.23 05:00,10.23 14:30
34,107.4,931.6,867,35,75,10.23 05:05,10.23 14:35
34,107.6,927.2,852.8,36.8,76,10.23 05:10,10.23 14:40
34,107,922.6,838.2,37.8,77,10.23 05:15,10.23 14:45
34,107.2,918.2,823.2,39,77.2,10.23 05:20,10.23 14:50
34,106.6,913,808.2,40,78.2,10.23 05:25,10.23 14:55
34,106.6,907.8,792.2,41,79,10.23 05:30,10.23 15:00
34,106.4,902,776,42,80,10.23 05:35,10.23 15:05
34,106.6,895.8,759.6,43,80.2,10.23 05:40,10.23 15:10
34,106.2,889.6,742.4,44,81.2,10.23 05:45,10.23 15:15
34,105.8,883,725.2,45,82,10.23 05:50,10.23 15:20
34,105.8,876,707.8,47,82.2,10.23 05:55,10.23 15:25
34,105,869,689.4,48,83.2,10.23 06:00,10.23 15:30
34,104.4,862,671.8,49,84,10.23 06:05,10.23 15:35
34,104.2,854.2,652.8,50,84.2,10.23 06:10,10.23 15:40
34,103.2,846.2,634,51,85,10.23 06:15,10.23 15:45
34,104.6,832.4,613.8,52,85.2,10.23 06:20,10.23 15:50
33.8,101.4,829.4,595.8,53,86,10.23 06:25,10.23 15:55
33.8,100.6,820.8,576.2,54.8,87,10.23 06:30,10.23 16:00
33.4,99.4,811.6,556.4,56,87.2,10.23 06:35,10.23 16:05
33.2,97.8,802.2,536.4,57,88,10.23 06:40,10.23 16:10
33.2,96.4,792.4,516.2,58,88.2,10.23 06:45,10.23 16:15
